Comment,Author
某些人認為如果林智堅沒事 就是台大對學術倫理睜一隻眼,jzoethai
閉一隻眼 而且抄襲案已經讓外界對第一學府學術品質打上,jzoethai
問號 所以就這方面來說打擊聲譽還算合理的ㄅ 不過林火旺,jzoethai
是台大三民主義所aka國發所前身的碩士 不知道他是怎麼看,jzoethai
所上教授陳明通和學弟林智堅的論文爭議的www,jzoethai
看來是安全下庄了~,micbrimac
樓上為何出此言,shaqiantsai
林智堅就不可能有事好嗎,cycling
出包到全國熱議才在說不會含糊以對 其實蠻幽默的,gruenherz
http://i.imgur.com/4KZWN5q.jpg,Kamollion
https://i.imgur.com/KSEqurD.jpg,daniel5225
https://i.imgur.com/zAlyq6T.jpg,daye87
https://i.imgur.com/mRT1gZU.jpg,saturday5566
哈洽馬恰馬,geedbaka
https://i.imgur.com/LkfSSsd.jpg,lettim28
從查成績系統可以下載電子成績單,sunhextfn
申請網站可以幫你寄到全世界各地,Poincare
辛苦了 在國外要注意自身健康唷,eunhailoveu
謝謝各位的回覆和關懷，找到了，剛溫：D,fuzzlog
申請網站上面可以申請郵寄～,starsnight
話說請朋友去按機台再寄過去可以嗎?,cwh0105
不曉得校友能不能用自助繳費機,cwh0105
應該有學號+身分證字號即可,syoboon1994
三小啦....,kevinfort
對，有新聞了,hmenri
一發就有新聞了 ...,xhakiboo
https://bit.ly/38RaBbR,hmenri
qq,aure0914
期中考，最近天氣又陰沉,tontontonni
草菅活人命 死了再來開會 偉哉台大,charlie1667
靠邀，難怪剛才又聽到救護車，幹QQ,fatbean
校方決定不適合討論,cwh0105
學校必須改善心輔程序了，問題已經好幾年了，這次一連這,emma789
麼多起也是給學校壓力，希望可以解決，不然到底還要陪多,emma789
少人命進去？,emma789
交流版那個嗎,lou3612
高頻藝術你不懂,Chrizeroxtwo
這是藝術,maozz
你不尊重藝術，藝術要生氣了,aure0914
大聲 bad,johnny1300
請問大概會唱到什麼時候QQ,kelly6732
好險人不在附近,AllenHuang
QQ,cuteSquirrel
20年沒出國過怒噓,jason90814
連飛機都沒搭過怒噓,superuser
不只日本 哪裡都去不了 怒噓,jzoethai
原po去過上高地嗎嗚嗚嗚嗚 我好想去,wig1218
我的日本 我的岐阜 我的白川 嗚嗚嗚嗚嗚嗚,wig1218
還沒去過上高地QAQ,crimson11
https://i.imgur.com/o3fC1rC.jpg,crimson11
去過岐阜縣的高山跟合掌屋，高山的牛奶好好喝,crimson11
有機會想去看冬天下雪天的白川鄉合掌村啊！,crimson11
本來去年六月要去奧入瀨溪的，怒噓,Xperia
沒有 全面開放了,yongxchen
感謝！,interestant
全面開放很久了喔,jzoethai
想去就去，想走就走,kbt2720
開放很久了吧,diabolica
一堆校外人士買牛奶,hoos891405
樓下customer,shaqiantsai
樓下visitor,cuteSquirrel
樓下vendor,HenryLin123
樓下Temp,stcr3011
我懷疑這是在偷偷嘴砲,ricky666
推,xhakiboo
辛苦了,rothanlin
我覺得這種咖應該給帳號部永桶,rothanlin
因為不只台大版，他在各大看板鬧很久了,rothanlin
他才剛被joke版水桶，又跑來這裡洗文,rothanlin
桶了一個，繼續鬧另一個啊,rothanlin
為了其他板眾著想 建議給它退文,AllenHuang
笑死 那篇論文早就在網上隨便查了XD,cwh0105
又是你 你袋子到底裝了什麼才會擔心刮到他人或東西,LK112
如果真如前一篇推文有人說的您本身有焦慮問題，而非故意,eddy13
要發廢文，那誠心建議一定要去看醫師，不然至少先去輔導,eddy13
中心諮商，看看怎樣對您的心理問題較有幫助,eddy13
你手上是有什麼武器可以把手機的玻璃刮碎啦？,AllenHuang
樓上幾個在兇什麼…餐飲系不能帶刀子練習切兔子蘋果嗎？,kbt2720
裝榴蓮？,gruenherz
其實昨晚你已經給人家刮死了…,lou3612
你真的有強迫症和焦慮症欸 不用這麼小題大作杞人憂天啦,jzoethai
zzz...,mark0204
好了啦 文章都一樣,dante110059
樓上幾位也不用這麼凶啦 原po應該真的有相關焦慮問題,jason90814
我一個朋友也是這樣，但情形剛好相反，是很害怕自己,jason90814
經過東西被刮到或用髒，發生的時候真的可以鑽牛角尖,jason90814
很久，本人不想要繼續想也控制不住。建議找個醫生或,jason90814
諮商師看看吧，雖然很難根除但有機會減緩,jason90814
早日康復加油,CK0663
這邊看起來像諮商處嗎,usercode
這種文應該發交流板比較適合ㄅ,shaqiantsai
"eddy13, jason90814謝謝你們的建議，也感謝CK0663的鼓勵",yingcw
國民黨黑手真的伸進校園裡了 政治入侵校園還能理直氣,Friend5566
壯,Friend5566
樓上是喝了酒來留言的嗎？,letmesee3085
利益被仿礙，該該叫了,gruenherz
"我也可以創標題為:""管中閔不相信台大學生?!""",mark0204
樓上有料 明天改行當記者,jzoethai
國發所要訂10%雷同上限嗎,AISC
這不是很基本嗎?....,FHShih
原來以前沒有 我以為圖書館會幫忙弄,ms0286415
記得以前有 圖書館會跑程式 但不嚴格,ma4wanderer
之前交換回來補宿舍也是這樣～當時入住的時候住宿組另,OC9238nice
外給了一張可以繳費的！,OC9238nice
我也是接近期末時補到研究生宿舍，然後繳費單宿費為零,B04801017
，覺得很困惑QWQ,B04801017
研究生+1，也正在住宿舍，感覺禮拜一要問問了,audi0909
DIP助教會出在作業裡,mangocat1999
真假，這麼猛,cuteSquirrel
搜諾七諾撒搭咩,a58524andy
JOOOO,ssd860505da
這位老師最近380天內在這板已經徵了六次助理,aarzbrv
什麼原因?,odoi
外籍老師本來就不容易徵到助理阿,vincent7977
工作內容跟求職條件需求，看起來都跟生物跟機電都沒有關係,taipoo
研究助理都是從打雜和run data開始的,FHShih
誠徵分類一名,cwh0105
文章分類,zzzz8931
8：00之前加分類 不然就要吃水統了,saturday5566
電資當道只要會影像訊號處理即可 生物什麼的後來再學就好,AISC
噓1樓的眼睛 機電整合 機電硬體架設跟機電無關？？,imcyu
開的課每個禮拜一堆作業 誰敢應徵 真要準備出國不如,cplalexandta
去中研院爽多了,cplalexandta
不好意思，第一次發文，請問分類要怎麼加呢？,sandycc0419
嗯...應該成功了吧,sandycc0419
你以為教授會知道？控制ta比較有用,b03902123
唐鳳已經用腦波知道你想偷看答案了是不會理你的,aristoIris
楓葉書好像有 XD,cuteSquirrel
攤提把模板背起來不就好了,aa871220
可4 Amortize 依然算是半送分題吧,daye87
108-1只有五分 20分太扯了,rumrumrum
應該拉到30歲畢業,cattgirl
全力支持台灣的碩士班一律唸三年 XDDDDD,AllenHuang
隨便拉，反正我有了,speed364
大一的課程廢除就好了,Amewakahiko
台灣學生最愛損1年制碩士了，那唸個3年應該強很多吧。,AllenHuang
全力支持 碩是念四年 當大學讀,t81511270
大一的國文 歷史都廢掉就好了,tetani
*碩士,t81511270
廢除的話，實驗室就少了很多免錢工具人,TOEY
唸愈久的愈厲害。,AllenHuang
博士廢怪外面公司薪水給的多 這些書蟲 呵呵,baboosh
project少有單打獨鬥 碩班生跟著博班做多人手 為何要廢除?,cdmlin
應該簽下去做10年,ttyui
笑慘 要也是台大電機教授出來講。,m4vu0
碩班拉到10年，阿,Dia149
一群白痴教授,tony121010
理組最愛酸文組了 理組唸三年培養實力剛好 呵呵,mudee
很簡單啊 就不要像現在這麼好畢業就好 啊可是這樣讀碩士,zxc70227
的人就會變少 教授們願意嗎? 到最後還是$$$的問題,zxc70227
台灣高教體系越來越崩壞 慘,GOGOMTK
要三年就去讀ICS組就好了,soulboy330
土博就是廢物啊，根本流浪博士,yangwn1234
讀三年有可能拿到博士了，讀碩士,DarkerDuck
碩班廉價勞工 便宜又實惠,ZXCWS
你可以試行看看阿，嘻嘻 到時來看報名人數雪崩，噗,dly
土博程度差異太大 很可怕der....,ZXCWS
博班收一收，通通開正職研究助理缺不就好了,christopherl
唸三年 去英澳念一年還比較有競爭力,kenichisun
一堆流浪博士，還怪學生不來念博士，浪費國家生產,christopherl
力的垃圾機構,christopherl
台大一些野雞所的博士三年就拿到 其他都要4-7年,Amewakahiko
為拉長而拉長是哪招,shinewind
看看支持都什麼樣的科系就知道了,morichi
應該把技職做好 普大專心搞研究,mack860120
糞系要拉去拉啊,morichi
一堆研究所敗類教授已經三年了,lskqre456
還有看過博士論文的內容比碩士論文要貧乏非常多的,Amewakahiko
要被教授壓榨3年了,goodfuture
現在兩年不就一年在幫教授打工，還改三年？？,v21638245
化學所要廢自己廢阿 乾其他系所屁事,joecho
平均月領25k，是加教授進去平均嗎XD,shineaj
幹你娘到底憑什麼文組念三年,iPolo3
台大理工領域就是一群笑話誤人青春的垃圾,lskqre456
廢物文組不要亂入好嗎，是干你們？,nrxadsl
沒碩班唸也不會去唸博班啦,i12348
文組是打砲三年吧 真敢講,morichi
學林飛帆啊 文組唸六年,nikewang
一堆敗類教授?不要說文組都沒有啦zzz,nrxadsl
野雞所=文組,nrxadsl
免錢的奴隸這麼好用 不留對嗎？,a0952864901
改四年，從下兵幹到上兵,dahlia7357
"北大有中國超大市場,台灣除了半導體還有什麼賺錢",darkgoblin
怎不廢多餘教授,somefatguy
想要幫你做事的奴工而已 讀書不為工作？,black510113
難怪大學部念完一堆人出國，誰要跟這些神經病玩,MgEuCuLiZn
他沒說錯 台大不食煙火的老師還真不少 XD,b54102
廢碩士對台gg很不方便吧,kkjjkkjj
改成在職博士班算了,lpbrother
我建議拉到10年啦,Coffier
看來像年輕教授找不到狗奴幹幹叫 講難聽的112用土博嗎?,shineline
奴工不能太早跑 不賣身念博班至少也多幹一年,nakayamayyt
碩班讀三年是有病嗎？,will1118
支持 反正我畢業了 嘻嘻,toolittle
台灣很喜歡生一堆規範，拉慢學生的畢業年限，結果學生乾,julians
脆出國念，搞不好比較快學歷還比較值錢,julians
化學系閉嘴,Kazmier
呵呵 學校本來就是培育人才的地方 結果搞得像是賺錢為,vovo0930
目標 腦袋呵呵,vovo0930
反正有十萬讚就可以念,Mazda6
多一年企業技術專班啊 實作學術一起,intointo
歐美一堆一年碩士,reil
高科技奴工的搶奪戰,max60209
規定就是兩年的碩士學程，拉到三年沒正當性,rogergon
台大學生強度 大學&gt;碩士&gt;博士,percival
翻譯:需要更多免費勞工,zerotry
碩班3年其實我覺得算有建設性的方案了,xxxg00w0
畢業門檻也是關鍵,xxxg00w0
不食人間煙火的教授,wei9898
缺研究奴隸嗎？ 改七年爽到翻？,bluecup
z幹 別,yushes920179
人數減少啦 碩新生四千七人有事咪,YSae9
平均25k也敢拿出來zz,Peter521
怎麼不把台大廢掉比較快,smile12372
頭好痛喔...,a22028504
碩班畢業那麼窮還要讀三年？,sjayyan
寧願重考三年吧,Apache
化學系有事嗎就你們在那邊鬧還拖別人下水,k2541398
拉基叫獸要幫忙發paper就說嗎？說實話很難嗎？不會自己做,atom95
實驗嗎？凹人延畢還講甘話~騙87嗎？,atom95
以為把你綁久一點就走不掉了是吧？根本勒索,ntuabcd01
文組碩無感,juicybottle
我只問一句，憑什麼？,rogergon
碩博合一，四年畢業，比較有吸引力,pinjose
老三鬼連線,cwh0105
好，期中考加油！,Lyu7
安心亞,shaway
台南人挺喵喵總冠軍！,hankyoeppp
應該是上學期大家比較少來學校車比較少，大家已經習慣,mayolane
車比較少的時候吧,mayolane
#1VOYMW9X (NTU),tom282f3
這跟沒事就說大一猴是一樣的阿，動不動就要靠北，是有多需,YSae9
要罵人來坐高自己地位,YSae9
Ubike 2.0壓縮了不少車位 上學期線上課很多不明顯,Richun
這個學期就爆炸了,Richun
啊除了少數像小福之類的地方實在太難停之外，違停本來就,ru04j4
很G8啊，停稍微遠一點走點路是會怎樣,ru04j4
小福中午推薦停博雅跟球場中間那道，中午那邊前面真的,divaxxxx
亂到連過去都不想過去...,divaxxxx
小福扯到停在車道 都要違停了還停在車道根本故意,cwh0105
U bike 2.0已經可以證明是失敗了吧,hoos891405
壓縮到停車位，尖峰時刻車輛一直都很難借,hoos891405
遠一點一直都有停車位，要解決這種亂象，只能在各大樓,verdandy
門口設立四次元停車格,verdandy
不然以大部分人一下車就要是目的地的習慣根本沒辦法,verdandy
借問一下 新體往球場方向的路上車停整片是什麼狀況?,i19890813
原本想看youbike2.0能否減少自用車 改善停車亂象 看來新生,ohmyrm
還是自己買車 導致車位更難找,ohmyrm
2.0偶爾臨時有用啦，雖然大部分需要時都是站點沒車嘻,AprilMight
單純是剛開學大家還沒開始蹺課所以停車位供不應求吧,Cascadia
違停是一回事，那群靠北停車的人想踹倒整排違停車我,freaKurt315
不知道在啥,freaKurt315
想要私下破壞違停者財產的人，還敢指責別人不守規矩,freaKurt315
笑死,freaKurt315
樓上在審查思想犯嗎,cwh0105
違停白目啊 硬要亂插 支持腳踏車考照掛牌啦,Pz88828
最煩的是騎車並排大聲聊天還不看路的 氣死,sandy50315
賽局理論+破窗理論,chocopie
以前沒有每天罵才不正常，各種常識難以理解的停車,eldar
"新體外並排到把路擋光,小福前整排違停擋路,還有並排3排停車",eldar
一台車可以擋掉幾十個人通行要道，我們有同學深得兵法要領,eldar
新體前面停的有夠誇張,dumdumdum
是因為泳池那側在整修吧,dosoleil
不然之前只有過傍晚後車才會開始氾濫,dosoleil
倒是長興BOT跟男八中間從上學期開始就變停車場了=.=,dosoleil
違停還怕被靠北？,PGCHAI
新體那邊要整修到什麼時候==已經一個暑假了有夠煩,ricefish
Youbike 2.0 真的很常沒車,sbtiagr
2.0很成功好嗎,koh8862
2.0很成功的沒車啊 腳踏車變多調度貨車跟工程車變一,Jimmy030489
堆,Jimmy030489
很成功的沒車啦,aquariuschi
洗文==,isaswa
Youbike 2.0 太容易沒車，所以學生每天騎還是必須買車,johnboygo
很多台大老人根本也不會騎車，再加上新鮮菜雞跟2.0 所以今,QAQer
年亂象特別嚴重... 不然每年都馬是開學亂糟糟 期中冷清清,QAQer
這學期超誇張,MRfridge
亂停的現像是學生素質問題 不是YouBike 2.0的問題,AllenHuang
素質,rtfgyrtfgy
太過分，車子鏈子和停車桿被弄壞，在台大六年沒碰過這,HideoKuze
種事,HideoKuze
民智開化 法治教育的成功,dannyko
違停擋到路或害別人很難牽出來都很靠北吧 本來就該被嘴啊,Gengaa
操,Gengaa
2.0以前違停早就多到靠北了好不好，一堆菜雞,electronicyi
鏈條側柱被弄壞怎麼可能是這學期才有,paks748664
車子多一點的地方大概每天都有車的鏈條和側柱被擠壞,paks748664
這薪水認真！？,kikko1805
學校兼任助理也就只能這樣給吧...,scarletocean
這或許是要去打某個比賽的APP？,chocopie
內文也說了賣點是累積經驗...其實還OK啦...這種對新鮮,TuringNTU
人履歷加分不只一點,TuringNTU
笑死,Vett
XD,snowrain
這什麼南部畫質,jasonking3c
何時輪到ptt,bruce1119
我愛祖國,andyHYK1998
https://i.imgur.com/63dXFyX.jpg,jasonking3c
台大唉,theshape87
囧....怎一堆被駭,micat
Genius,PELJE
下一個就輪到ptt了,jasonking3c
笑死,deltarobot
快笑死,laplacian
台大資工還在睡,deltarobot
下一個是批踢踢嗎？,douCai
台大自掐哥人勒,whitenoise
PTT被駭就好玩了 百萬人個資嘻嘻,nikewang
資工被看沒有,HellFly
陰間論壇嵯咧等,ggbi4zzz
https://i.imgur.com/Cgmv3KV.jpg,c98406023
台大資工就這？,NaoGaTsu
真的欸 笑死,iPadProPlus
此生無悔入台大,min10489
https://i.imgur.com/S0CKOXM.png 把習主,kumori
不行我笑了,vin312789
學店不意外,Toge
不要動到PTT阿,sunskist0831
笑死,qk3380888
習看板設為預設啊,kumori
反正八成早晚都會攻,kumori
糞校,asdf70044
陰間論談應該也快了,andytaso
學術誠信沒有，想不到資安也沒有,whitenoise
台大徹底學店化了,YSJ543
學店沒差,lwswjs
這是怎樣? 直接打主機暴力試帳密?,LoveMoon
台大教務處網站沒人看啦,ray88076
一個田？TSJ?,milkBK
台大 哈哈,jj0321
笑死,killdidee
八卦是 你在看教務處網頁,cowboyz1105
強ㄉ都出國玩了 誰理資安,TheBeast
台大資工 呵,feather3
台大這麼廢？,hong414
唐鳳不是出手了== 到底在幹嘛,aa9012
難怪ptt搞成這樣,hong414
學店有差?,gbcg9725
抓到了，台大是中......,k44754
笑死,WulinWorks
沒空，師生都忙著抄論文,a1qazbgt5
你螢幕是1600x900ㄇ,wyiwyi
一個中國!!!!,LincolnBoy
應該找台大國發所 那邊挺綠的多,jim1122
中共同路人,ZunYin
尊絕不凡的台大竟然也淪陷了,akko76815
笑死,fudick
笑死 呆丸這方面被壓著打,a0921387223
笑死,aure0914
PTT早就淪陷了好嗎！,SolomonTab
沒錯啊世界上只有一個中国，我認同,taiwancom
7..,jio5557647
台大系統外包哦,elwyn
台大資工就這樣?,lipstick
省立台湾大学,oaoaxx
中華明國,yanhsin
超級好笑,vanvanvan
資工研究所...,vviiccttoorr
第一學店不重要啦,astrophy
弄這個要幹嘛？ =_=,coffee112
駭Ptt會把網軍都找出來嗎？,tci902
蛤！台大有教務處？,No005
台大最強的是國發所,twhuang28
笑死,gattttt
中國台灣大學發發所,NotUniqueSol
這網頁有人看嗎 駭進google首頁再說,Aequanimitas
能不能解鎖那些論文,snowfirefox
原原Po很帥,a22735557
呵呵,chocopie
台大教職員的薪水請不起台大資工畢業的吧，除非做功德。要是,ccdg
台大資工畢業只有這種薪水，也不會那麼多人搶著念,ccdg
自卑的表現 蠻荒民族的行為,jhct110
一般行政組員起薪是33K左右，工程師應該會稍高，但應該還,Qdream
是輸外界好幾條街,Qdream
目前計中在聘資安人員薪水是科技部助理薪資+專業加給，專業,YCL13
加給第一年最高可拿55139元，所以碩士畢業生第一年最高可拿,YCL13
93757元，這種起薪上限不知在資安領域可請到什麼等級的？,YCL13
"助理缺, 是含加給55139 不是加給55139",hom1130
這時候才終於想到台大網站的資安問題,jzoethai
問題為啥公務員人員不處理丟給約聘，這才是大問題！,abigalechen
同意樓上,shaqiantsai
謝謝hom1130大指正,YCL13
55k看有沒有願意優秀人才長期留下來保衛台大校園....,abigalechen
5萬連林九萬都聘不起了,douge
台大484只重視和只用公務員 把約聘人員當免洗筷啊,shaqiantsai
感謝資訊分享,sh3312037
不會~婆婆說她很不捨，但沒有管道對抗學校的決定QQ,billyooo1100
原來是學校的嗎！,bird
伯公亭跟土地公廟好像不一樣，但我也也不知道伯公是什麼,larsky
，只知道那邊是以前被剷平蓋管院的聚落。,larsky
伯公是客家語對土地公的稱呼,poemlover
竟然！！！,jzoethai
謝謝分享資訊QQ,beeeans
會拆掉嗎？趕快去一趟,jhct110
感謝分享 最近多去幾次,shaqiantsai
天啊，念台大那麼久，都不知道有這個地方，有人跟我一樣嗎？,LEDG
以前是公館林家的聚落喔~當時學校不是說要保留當地居民的,timor
民間信仰習俗，怎麼傳出要婆婆退休和不能點光明燈了？,timor
... 我也沒去過 原來那邊有路能走,ekids1234
我寫校務建言了，希望想幫助婆婆的大家也有其他方法幫助她,timor
天阿QQ 靠土地公上台大的 來去拜一下,aa871220
謝謝t大,billyooo1100
timor大,billyooo1100
應該的...,timor
希望保留+1,francine
「台大武學社是台大武學於台大成立之社團組織」,IllMOR
台大武學是一個門派嗎?,IllMOR
有詠春嗎,willy2771
首剪頭,ShaEric63ck
收尖頭,ShaEric63ck
守件投,ShaEric63ck
首箭頭,ShaEric63ck
https://i.imgur.com/VbRarje.jpg,ggian123
https://i.imgur.com/4ZHeFNo.jpg,ggian123
貼錯了幹,ggian123
https://i.imgur.com/T5vbjwA.jpg,ggian123
https://i.imgur.com/uuROkDf.jpg,ggian123
https://i.imgur.com/jtD9k1W.jpg,ggian123
為什麼都碩二了還會要考期末考啊Q_q,vul35858
貓咪可愛,cuteSquirrel
恭喜～,jerejesse
貓貓可愛你也可愛,cuteSquirrel
睡眠又失調了啊啊啊,yuyu4092
唸不完噓,stoiclogic
啊啊啊啊啊 result 跑不出來 RRRRRRRRRRRRRRR,vul35858
不寫了 我要高歌離席,manchenlee
放暑假好多個月了 好爽,maozz
原來是這裡發批幣 謝謝,maozz
補推恩梯優板好溫暖,tonyflu
&gt;///&lt;,tonyflu
竟然發錢惹O口O 大感謝～開醺^_^,jzoethai
謝謝傑西,cuteSquirrel
好想打橋牌,aletheia
FKU線上考,SkyStreaM
爽 終於弄完了,thejackys
新板主咧？,maozz
問個 Ubike2.0現在只有台大總區有 怎麼會沒NTU點??,Imotucc
潤餅都可以了ㄟ????,Imotucc
餵狗一下就有的資訊還特地上來發= =,aquariuschi
對ㄅ起 因為Imotucc很想發文&gt;&lt;,Imotucc
但是餵狗可以知道甚麼??,Imotucc
好吧 抱歉,Imotucc
卡卡西也是過了689集才露出真面目,cal28802672
原本想噓 看在兵長的份上,a9075a9075
打錯啦團長,a9075a9075
這問題很好，我用我的經驗告訴你視訊可以解決,alan23273850
請吃飯啊,bruce1119
你坐啊,FGuckuriot
不要玩我大團長QQ,storz1197
"約吃飯、等喝水、跟他說""你是不是戴口罩戴到皮膚過",pipi8696044
"敏了?!""",pipi8696044
我也想知道日文課坐我後面女生長怎麼樣，可惡,Abieskawa
這樣未來澳洲打工度假根本撈不到錢啊,CaCO2
這樣說也沒錯，認同鈣二氧化碳大大,f19890230
那個，我是碳酸鈣啦ww,CaCO2
碳酸鈣是CaCO3喔,f19890230
...所以我是鈣二氧化碳Orz,CaCO2
樓上文組,BadNose
三鼎變兩鼎,cwh0105
給我改名喔==,FuYen
亞碳酸鈣？,cherrybless
還在中間加空格的是南部人==?,nekoron1209
陳山頂真的開了嗎？,Aradin
誰啦 直接說啊,flybirdy
在臺灣只要你是多數 不合理的都要變成合理,koromo1991
台大法律誤台24年,tchialen
"認真問一下, 移走佔位的物品能告什麼 ?",only777
哇== 真是太噁心了==， 好險我讀學店，必修不會有人,sole772pk37
現在國泰民安不會再有太陽花了^^,psee
搶位子,sole772pk37
看看幾位市議員/立委不就知道了 操守德道還以為多清新,nikewang
覺青市議員/立委,nikewang
中肯 全台法律系就那樣 喊公平正義真的很假掰,MJ23
法律系誤國一點也不ey,MJ23
"多數的法律人都自以為懂法所以可以玩法,並且堅信法律是",smalltwo
不是還有人當總統了,jason222333
"保護懂法的人這點,",smalltwo
跟他講啊跟我們講幹嘛,Sibelius26
我都直接坐下去 給你參考,how870927
你為什麼不直接坐,NomeL
"大叔都在社會上混那麼久了,還不敢直接坐?坐在放衛生紙",Daehunny
那個位置阿~然後順手擤鼻涕...最先到的那個菜雞若開槓,Daehunny
全程錄影,Daehunny
好奇 法律系的課是會點名嗎? 不然為啥要去上課呢 自學不可,hsnuyi
以嗎?,hsnuyi
什麼都自學 你當教授都吃素or不會備課嗎,a58524andy
教授會不會備課 跟自學有啥衝突? 教授的法學中心思想是每,hsnuyi
年會變? 買他出的書看不就好了?,hsnuyi
前面的前提看起來不是單講法律系ㄅ 然後我也不是法,a58524andy
律的所以我對法律的習慣作法不太懂,a58524andy
我只知道今年html來說htlin有寫書 影片也都傳了,a58524andy
n年的版本上去了 會上課的還是一堆啊,a58524andy
田神上課也還是能幫你提綱挈領,a58524andy
不然你意思是法律系教授做不到這點嗎,a58524andy
再來他有備課代表他有他的切入點能跟你說啊,a58524andy
這不就是你要上課的原因嗎,a58524andy
我只有在問法律系的部分 林的ML我沒去過 沒看過影片 有買,hsnuyi
書 這樣就夠拿A+了,hsnuyi
另外 期末project的組員也沒在現實見過面,hsnuyi
你那學期固定翹的有幾% 算一算應該會發現你算比較,a58524andy
壞資料那種吧,a58524andy
應該說甚至連影片都沒看只嗑書的,a58524andy
個人是認為 法律有流派問題 所以可能會需要去上課 就像中,hsnuyi
會有分鄭式分錄跟其他分錄那樣,hsnuyi
不過也蠻上進的啦~魯系我們大家都搶最後面的位置，離,famous727
教授越遠越好,famous727
乾學校啥事 台清交一樣一堆佔位仔,skyHuan
法律系陋習,taay
佔位仔 違停仔 惱羞咆哮仔 不都是台灣日常,Allen624
法律系不意外,mtyk10100
佔位仔才不分學校好不好,dogluckyno1
總覺得佔位子是學生的陋習,ross1103
幫高調 祝平安回家,FHShih
幫推,maozz
祝順利找到,taipoo
高調,Roses1205
希望趕快找到,kikiandlala
高調 希望快找到,flyuhigh
高調,Lncnen
高調,jason90814
今早長輩已經找到了，謝謝大家,imblic106
恭喜,tom282f3
母親節快樂～,tom282f3
恭喜,sodistrues
有喜歡的人好意思說自己宅 不夠油的都下去了,daye87
可憐幫Q,manchenlee
DCC,ann141414
樓下硬還軟？,chubby31190
OO,Schrodingerr
你誰,Imotucc
幹 我好像太兇了 沒事 抱歉,Imotucc
閩南人殖民台灣後就把閩南語當台語了,stewardship
日本語も台湾語,cwh0105
推,fall80926
福佬人貼金也蓋不住底下的中國味,FMANT
請問以後社課是都不固定拜幾？,znling
甚麼戰後？甲午嗎？閩方言可不是戰後才出現滴~,KarateWu
連戰後都看不懂……,audi0909
一般稱戰後就是二戰後啊，某樓國中有沒有畢業,nindo12301
某樓沒讀過歷史吧笑死,izual
推推，看不出6樓是反串還是真的,a21096
某樓是不是看不懂“閩南語這個詞”和“閩南語”的差,theAlmighty
別,theAlmighty
甲午 我還鴉片咧 外國事務,AllenHuang
戰後看不懂笑死,ganhua
可能只知道後站，不知戰後,ri31625
笑死 其實閩南語是民進党執政後才產生的副產品，用來洗,ht91008
腦大眾與大陸的關聯性，台灣的本土意識說來可笑，政治目,ht91008
的可以把民族、文化、血統做切割,ht91008
安平就是中國泉州漳州移民最早殖民台灣的地方啊,stewardship
把閩南語當成台語就跟把西班牙語當墨西哥語一樣荒謬,stewardship
而且，就以福佬沙文主義者的邏輯來說，現代標準漢語,stewardship
在台灣地區的普及性更高、更有資格稱為「台灣話」,stewardship
別吵了 多講母語是好事 大家都來講,EEzionT
119學生：我讀頂大,FXW11314
116學生：我讀四大,FXW11314
114學生：我讀清交,FXW11314
113學生：我讀交清,FXW11314
112學生：我讀學店,FXW11314
學店品質你還想期待啥= =,pig8409
我以為是因為我微積分被當才卡在那邊= =,YukinoWin
原來現在移到cool了哦XD,Agdanpanda
哈囉同學你好，我是NTU COOL團隊的暐舜，謝謝你提出,tiffanydodo
這個困擾。微積分考古題的課程是教發中心學習組為學,tiffanydodo
校同學規劃的服務，NTU COOL平台沒辦法直接把課程關,tiffanydodo
掉。我會把你的訊息轉給學習組的夥伴，請他們討論看,tiffanydodo
看怎麼規劃這件事比較適合。,tiffanydodo
［更新］幫忙學習組同仁來回覆：我們把微積分考古題,tiffanydodo
課程關起來囉！,tiffanydodo
那是在提醒你的微積分不夠高沒有 A+，要再修一次懂?,alan23273850
我B06的，到現在課程也是卡在那邊，問我要不要加入，但無,mic2754
法加入也無法退出http://i.imgur.com/bQY1pO3.jpg,mic2754
可愛,cuteSquirrel
沒附圖,kerorohsnu
野火 騷莎 探索 恰恰,selvester
從1300下探130的關鍵四大,selvester
Unlimited Vote Work,cwh0105
會不會選舉無效啊,whu950046
台大安全 學生有錢,eunhailoveu
文院學會票數略奇妙,shibasun
管院的1%投票率證明管院價值屌打台灣價值,yahoo168
結果梁聖宇被醫學院整人大逆轉...,bubblewu1103
醫學院那個票數真的扯……,anomic24
台大宋伯伯QQ,cakeman1212
\再一年/\再一年/\再一年/\再一年/,cakeman1212
陳怡安在電資院有拿下來 算可以了,abcde2048
據說去年醫學院領票也是200+,nancy3nancy3
另外醫學院不是只有醫學系喔= =,nancy3nancy3
推推,kennyf506
爽啦 總區仔再秋啊 外校區都塑膠,hakka5566
希望舟山路可以不要再淹水，積水早點退,Yuan
大管院沒在鳥塵世的啦,Jimmy030489
投票率世界奇觀，再搞政治啊…科科,atom95
醫學院 扯,bicdyueh1212
投票率這麼低是在搞笑嗎,aure0914
5%投票率的民意代表QQ.,hectorhsu
可憐啊,star07
可愛咖nlnlOeO,CorkiN
雪寶咖,mmm87963
副班長你開很勤唉,chung0817
https://i.imgur.com/iSbuhCv.png,Klaus337
看來我是AD（雙手比葉）,ntupppeap
你想住冰箱?,alvistan
先學會研究自己比較重要的,taipoo
亂板仔可不可以桶一桶啊,deltz
跟我想的一樣,Agdanpanda
